entity_name,abbreviation,aliases,entity_type,irwm_region,notes,all_names
U.S. Bureau of Reclamation,USBR,Bureau of Reclamation|BoR|BOR|Reclamation|US Bureau of Reclamation,Federal Agency,Statewide,Operates Central Valley Project (CVP),U.S. Bureau of Reclamation|USBR|Bureau of Reclamation|BoR|BOR|Reclamation|US Bureau of Reclamation
U.S. Army Corps of Engineers,USACE,Army Corps|Corps of Engineers|Army Corps of Engineers|US Army Corps,Federal Agency,Statewide,"Flood control, permitting, water infrastructure",U.S. Army Corps of Engineers|USACE|Army Corps|Corps of Engineers|Army Corps of Engineers|US Army Corps
U.S. Environmental Protection Agency,US EPA,EPA|U.S. EPA|United States Environmental Protection Agency|Federal EPA,Federal Agency,Statewide,,U.S. Environmental Protection Agency|US EPA|EPA|U.S. EPA|United States Environmental Protection Agency|Federal EPA
U.S. Geological Survey,USGS,US Geological Survey|United States Geological Survey,Federal Agency,Statewide,Water data and monitoring,U.S. Geological Survey|USGS|US Geological Survey|United States Geological Survey
U.S. Fish and Wildlife Service,USFWS,Fish and Wildlife Service|FWS|US Fish & Wildlife,Federal Agency,Statewide,,U.S. Fish and Wildlife Service|USFWS|Fish and Wildlife Service|FWS|US Fish & Wildlife
National Marine Fisheries Service,NMFS,NOAA Fisheries|NOAA NMFS|National Oceanic and Atmospheric Administration Fisheries,Federal Agency,Statewide,,National Marine Fisheries Service|NMFS|NOAA Fisheries|NOAA NMFS|National Oceanic and Atmospheric Administration Fisheries
Natural Resources Conservation Service,NRCS,US NRCS|Soil Conservation Service|SCS,Federal Agency,Statewide,Formerly Soil Conservation Service (SCS),Natural Resources Conservation Service|NRCS|US NRCS|Soil Conservation Service|SCS
Farm Service Agency,FSA,USDA FSA|US Farm Service Agency,Federal Agency,Statewide,,Farm Service Agency|FSA|USDA FSA|US Farm Service Agency
U.S. Forest Service,USFS,Forest Service|US Forest Service|United States Forest Service,Federal Agency,Statewide,,U.S. Forest Service|USFS|Forest Service|US Forest Service|United States Forest Service
Bureau of Land Management,BLM,US BLM|US Bureau of Land Management,Federal Agency,Statewide,,Bureau of Land Management|BLM|US BLM|US Bureau of Land Management
National Park Service,NPS,US National Park Service|US NPS,Federal Agency,Statewide,,National Park Service|NPS|US National Park Service|US NPS
Federal Emergency Management Agency,FEMA,US FEMA,Federal Agency,Statewide,Flood mapping and disaster funding,Federal Emergency Management Agency|FEMA|US FEMA
U.S. Department of Agriculture,USDA,US Department of Agriculture|United States Department of Agriculture,Federal Agency,Statewide,,U.S. Department of Agriculture|USDA|US Department of Agriculture|United States Department of Agriculture
U.S. Department of the Interior,DOI,Department of Interior|US DOI|Interior Department,Federal Agency,Statewide,,U.S. Department of the Interior|DOI|Department of Interior|US DOI|Interior Department
North Coast Regional Water Quality Control Board,North Coast RWQCB,Region 1 Water Board|North Coast Water Board|North Coast Regional Board,Regional Water Quality Control Board,North Coast,Region 1,North Coast Regional Water Quality Control Board|North Coast RWQCB|Region 1 Water Board|North Coast Water Board|North Coast Regional Board
San Francisco Bay Regional Water Quality Control Board,San Francisco Bay RWQCB,Region 2 Water Board|SF Bay Regional Board|Bay RWQCB|SF Bay Water Board,Regional Water Quality Control Board,Bay Area,Region 2,San Francisco Bay Regional Water Quality Control Board|San Francisco Bay RWQCB|Region 2 Water Board|SF Bay Regional Board|Bay RWQCB|SF Bay Water Board
Central Coast Regional Water Quality Control Board,Central Coast RWQCB,Region 3 Water Board|Central Coast Regional Board|Central Coast Water Board,Regional Water Quality Control Board,Central Coast,Region 3,Central Coast Regional Water Quality Control Board|Central Coast RWQCB|Region 3 Water Board|Central Coast Regional Board|Central Coast Water Board
Los Angeles Regional Water Quality Control Board,Los Angeles RWQCB,Region 4 Water Board|LA Regional Board|LA RWQCB|LA Water Board,Regional Water Quality Control Board,Greater Los Angeles County,Region 4,Los Angeles Regional Water Quality Control Board|Los Angeles RWQCB|Region 4 Water Board|LA Regional Board|LA RWQCB|LA Water Board
Central Valley Regional Water Quality Control Board,Central Valley RWQCB,Region 5 Water Board|Central Valley Regional Board|Central Valley Water Board,Regional Water Quality Control Board,North Sacramento Valley|Sacramento Valley|Eastern San Joaquin|San Joaquin River|Tulare Lake|Kern County,"Region 5; offices in Sacramento, Fresno, Redding",Central Valley Regional Water Quality Control Board|Central Valley RWQCB|Region 5 Water Board|Central Valley Regional Board|Central Valley Water Board
Lahontan Regional Water Quality Control Board,Lahontan RWQCB,Region 6 Water Board|Lahontan Regional Board|Lahontan Water Board,Regional Water Quality Control Board,Lahontan Basin|Inyo-Mono|Lake Tahoe,Region 6; offices in South Lake Tahoe and Victorville,Lahontan Regional Water Quality Control Board|Lahontan RWQCB|Region 6 Water Board|Lahontan Regional Board|Lahontan Water Board
Colorado River Basin Regional Water Quality Control Board,Colorado River Basin RWQCB,Region 7 Water Board|Colorado River Regional Board|Colorado River Water Board,Regional Water Quality Control Board,Imperial|Coachella Valley,Region 7,Colorado River Basin Regional Water Quality Control Board|Colorado River Basin RWQCB|Region 7 Water Board|Colorado River Regional Board|Colorado River Water Board
Santa Ana Regional Water Quality Control Board,Santa Ana RWQCB,Region 8 Water Board|Santa Ana Regional Board|Santa Ana Water Board,Regional Water Quality Control Board,Santa Ana Watershed|Inland Empire,Region 8,Santa Ana Regional Water Quality Control Board|Santa Ana RWQCB|Region 8 Water Board|Santa Ana Regional Board|Santa Ana Water Board
San Diego Regional Water Quality Control Board,San Diego RWQCB,Region 9 Water Board|San Diego Regional Board|San Diego Water Board,Regional Water Quality Control Board,San Diego|South Bay,Region 9,San Diego Regional Water Quality Control Board|San Diego RWQCB|Region 9 Water Board|San Diego Regional Board|San Diego Water Board
Metropolitan Water District of Southern California,MWD,The Metropolitan Water District|Metropolitan|Met|MWD of Southern California|Metropolitan Water District,Water Authority / Wholesaler,Greater Los Angeles County|South Coast|Orange County|San Diego|Inland Empire|Coachella Valley,Largest municipal water supplier in US; serves ~19 million people in 6 counties,Metropolitan Water District of Southern California|MWD|The Metropolitan Water District|Metropolitan|Met|MWD of Southern California|Metropolitan Water District
San Francisco Public Utilities Commission,SFPUC,SF PUC|San Francisco PUC|SFPUC,Municipal Utility,Bay Area|East Bay|Santa Clara Valley,Operates Hetch Hetchy water system,San Francisco Public Utilities Commission|SFPUC|SF PUC|San Francisco PUC
East Bay Municipal Utility District,EBMUD,East Bay MUD|EBMUD,Water District,East Bay,Serves Alameda and Contra Costa counties,East Bay Municipal Utility District|EBMUD|East Bay MUD
San Diego County Water Authority,SDCWA,SDCWA|SD County Water Authority|San Diego Water Authority|SD Water Authority,Water Authority / Wholesaler,San Diego,Regional water wholesaler for San Diego County; member agency of MWD,San Diego County Water Authority|SDCWA|SD County Water Authority|San Diego Water Authority|SD Water Authority
Santa Clara Valley Water District,Valley Water,SCVWD|Santa Clara Valley Water|Valley Water District|Santa Clara Valley Water District,Water District,Santa Clara Valley,Rebranded as 'Valley Water' in 2020,Santa Clara Valley Water District|Valley Water|SCVWD|Santa Clara Valley Water|Valley Water District
Alameda County Water District,ACWD,Alameda County Water|ACWD,Water District,East Bay,,Alameda County Water District|ACWD|Alameda County Water
Contra Costa Water District,CCWD,Contra Costa Water|CCWD,Water District,East Bay|East Contra Costa County,,Contra Costa Water District|CCWD|Contra Costa Water
Marin Municipal Water District,MMWD,Marin Water|MMWD|Marin Municipal Water,Water District,North Bay,,Marin Municipal Water District|MMWD|Marin Water|Marin Municipal Water
Sonoma County Water Agency,SCWA,Sonoma Water|SCWA|Sonoma County Water,Water Authority / Wholesaler,North Bay|Russian River,,Sonoma County Water Agency|SCWA|Sonoma Water|Sonoma County Water
Bay Area Water Supply and Conservation Agency,BAWSCA,BAWSCA,Water Authority / Wholesaler,Bay Area,Member agencies that purchase Hetch Hetchy water from SFPUC,Bay Area Water Supply and Conservation Agency|BAWSCA
Zone 7 Water Agency,Zone 7,Zone 7|Alameda County Flood Control and Water Conservation District Zone 7,Water District,East Bay,Serves Livermore/Amador/Tri-Valley area,Zone 7 Water Agency|Zone 7|Alameda County Flood Control and Water Conservation District Zone 7
Calleguas Municipal Water District,Calleguas,CMWD|Calleguas MWD,Water District,Ventura County,,Calleguas Municipal Water District|Calleguas|CMWD|Calleguas MWD
Las Virgenes Municipal Water District,LVMWD,Las Virgenes Water|Las Virgenes MWD,Water District,South Coast|Greater Los Angeles County,,Las Virgenes Municipal Water District|LVMWD|Las Virgenes Water|Las Virgenes MWD
Municipal Water District of Orange County,MWDOC,Orange County MWD|MWDOC,Water Authority / Wholesaler,Orange County,Purchases imported water from MWD for Orange County member agencies,Municipal Water District of Orange County|MWDOC|Orange County MWD
Orange County Water District,OCWD,OC Water District|OCWD,Water District,Orange County,Manages Orange County Groundwater Basin,Orange County Water District|OCWD|OC Water District
Eastern Municipal Water District,EMWD,Eastern Municipal Water|EMWD,Water District,Inland Empire,Serves western Riverside County and northern San Diego County,Eastern Municipal Water District|EMWD|Eastern Municipal Water
Western Municipal Water District,WMWD,Western MWD|WMWD|Western Municipal Water,Water District,Inland Empire,,Western Municipal Water District|WMWD|Western MWD|Western Municipal Water
Inland Empire Utilities Agency,IEUA,Inland Empire Utilities|IEUA,Water Authority / Wholesaler,Inland Empire,Wholesale water and wastewater services in western San Bernardino County,Inland Empire Utilities Agency|IEUA|Inland Empire Utilities
Desert Water Agency,DWA,Desert Water|DWA,Water District,Coachella Valley,Serves Palm Springs area,Desert Water Agency|DWA|Desert Water
Coachella Valley Water District,CVWD,Coachella Valley Water|CVWD,Water District,Coachella Valley,,Coachella Valley Water District|CVWD|Coachella Valley Water
Imperial Irrigation District,IID,Imperial Irrigation|IID,Irrigation District,Imperial|Coachella Valley,Largest holder of Colorado River water rights in US,Imperial Irrigation District|IID|Imperial Irrigation
Antelope Valley-East Kern Water Agency,AVEK,AVEK|Antelope Valley East Kern Water,Water Authority / Wholesaler,Antelope Valley,,Antelope Valley-East Kern Water Agency|AVEK|Antelope Valley East Kern Water
Mojave Water Agency,MWA,Mojave Water|MWA,Water Authority / Wholesaler,Mojave,,Mojave Water Agency|MWA|Mojave Water
Kern County Water Agency,KCWA,Kern Water Agency|KCWA,Water Authority / Wholesaler,Kern County,,Kern County Water Agency|KCWA|Kern Water Agency
Westlands Water District,WWD,Westlands|WWD,Water District,Tulare Lake,Largest federal water contractor in US (CVP); west side San Joaquin Valley,Westlands Water District|WWD|Westlands
San Luis-Delta Mendota Water Authority,SLDMWA,San Luis Delta Mendota|SLDMWA,Water Authority / Wholesaler,Tulare Lake|San Joaquin River,Represents federal CVP contractors on west side of San Joaquin Valley,San Luis-Delta Mendota Water Authority|SLDMWA|San Luis Delta Mendota
Friant Water Authority,FWA,Friant Water|FWA,Water Authority / Wholesaler,San Joaquin River|Tulare Lake|Madera,Represents CVP contractors along Friant-Kern and Madera canals,Friant Water Authority|FWA|Friant Water
San Joaquin River Exchange Contractors Water Authority,Exchange Contractors,Exchange Contractors|San Joaquin Exchange Contractors|SJREC,Water Authority / Wholesaler,San Joaquin River,,San Joaquin River Exchange Contractors Water Authority|Exchange Contractors|San Joaquin Exchange Contractors|SJREC
Placer County Water Agency,PCWA,Placer Water|PCWA,Water District,American River Basin,,Placer County Water Agency|PCWA|Placer Water
Nevada Irrigation District,NID,Nevada Irrigation|NID,Irrigation District,American River Basin|CABY,Serves Nevada and Placer counties,Nevada Irrigation District|NID|Nevada Irrigation
El Dorado Irrigation District,EID,El Dorado Irrigation|EID,Irrigation District,El Dorado,,El Dorado Irrigation District|EID|El Dorado Irrigation
Sacramento County Water Agency,SCWA,Sacramento Water Agency|Sac County Water Agency,Water District,North Sacramento Valley,Note: SCWA abbreviation also used by Sonoma County Water Agency — use full name to disambiguate,Sacramento County Water Agency|SCWA|Sacramento Water Agency|Sac County Water Agency
North Marin Water District,NMWD,North Marin Water|NMWD,Water District,North Bay,,North Marin Water District|NMWD|North Marin Water
Napa County Flood Control and Water Conservation District,NCFCWCD,Napa County Flood Control|Napa Flood Control|Napa Water District,Water District,North Bay,,Napa County Flood Control and Water Conservation District|NCFCWCD|Napa County Flood Control|Napa Flood Control|Napa Water District
Monterey Peninsula Water Management District,MPWMD,Monterey Peninsula Water|MPWMD,Water District,Monterey Peninsula/Carmel Bay/South Monterey,,Monterey Peninsula Water Management District|MPWMD|Monterey Peninsula Water
Monterey County Water Resources Agency,MCWRA,Monterey County Water|MCWRA,Water District,Greater Monterey County|Salinas Valley,,Monterey County Water Resources Agency|MCWRA|Monterey County Water
Pajaro Valley Water Management Agency,PVWMA,Pajaro Valley Water|PVWMA,Water District,Pajaro River Watershed,,Pajaro Valley Water Management Agency|PVWMA|Pajaro Valley Water
Santa Cruz Water Department,SCWD,City of Santa Cruz Water|Santa Cruz Water|SCWD,Municipal Utility,Santa Cruz,,Santa Cruz Water Department|SCWD|City of Santa Cruz Water|Santa Cruz Water
Soquel Creek Water District,SqCWD,Soquel Creek Water|SqCWD,Water District,Santa Cruz,,Soquel Creek Water District|SqCWD|Soquel Creek Water
Santa Barbara County Water Agency,SBCWA,Santa Barbara Water Agency|SBCWA,Water District,Central Coast,,Santa Barbara County Water Agency|SBCWA|Santa Barbara Water Agency
Casitas Municipal Water District,Casitas,Casitas MWD|CMWD,Water District,Ventura County,,Casitas Municipal Water District|Casitas|Casitas MWD|CMWD
Ventura County Watershed Protection District,VCWPD,Ventura Watershed Protection|VCWPD,Water District,Ventura County,,Ventura County Watershed Protection District|VCWPD|Ventura Watershed Protection
Yuba Water Agency,YWA,Yuba County Water Agency|YCWA|Yuba Water,Water District,Feather River|CABY,,Yuba Water Agency|YWA|Yuba County Water Agency|YCWA|Yuba Water
Feather River Water Association,FRWA,Feather River Water|FRWA,Water Authority / Wholesaler,Feather River,,Feather River Water Association|FRWA|Feather River Water
Oroville-Wyandotte Irrigation District,OWID,Oroville Wyandotte Irrigation|OWID,Irrigation District,Feather River,,Oroville-Wyandotte Irrigation District|OWID|Oroville Wyandotte Irrigation
Shasta County Water Agency,SCWA,Shasta Water Agency|SCWA,Water District,North Sacramento Valley,Note: SCWA also used by Sacramento County and Sonoma County — use full name,Shasta County Water Agency|SCWA|Shasta Water Agency
Glenn-Colusa Irrigation District,GCID,Glenn Colusa Irrigation|GCID,Irrigation District,North Sacramento Valley,,Glenn-Colusa Irrigation District|GCID|Glenn Colusa Irrigation
Tehama-Colusa Canal Authority,TCCA,Tehama Colusa Canal|TCCA,Water Authority / Wholesaler,North Sacramento Valley,,Tehama-Colusa Canal Authority|TCCA|Tehama Colusa Canal
Yolo County Flood Control and Water Conservation District,YCFCWCD,Yolo County Flood Control|Yolo Flood Control|Yolo County Water|YCFCWCD,Water District,North Sacramento Valley|Sacramento Valley,,Yolo County Flood Control and Water Conservation District|YCFCWCD|Yolo County Flood Control|Yolo Flood Control|Yolo County Water
North Delta Water Agency,NDWA,North Delta Water|NDWA,Water District,Sacramento-San Joaquin Delta,,North Delta Water Agency|NDWA|North Delta Water
Central Delta Water Agency,CDWA,Central Delta Water|CDWA,Water District,Sacramento-San Joaquin Delta,,Central Delta Water Agency|CDWA|Central Delta Water
South Delta Water Agency,SDWA,South Delta Water|SDWA,Water District,Sacramento-San Joaquin Delta,,South Delta Water Agency|SDWA|South Delta Water
Turlock Irrigation District,TID,Turlock Irrigation|TID,Irrigation District,East Stanislaus,,Turlock Irrigation District|TID|Turlock Irrigation
Modesto Irrigation District,MID,Modesto Irrigation|MID,Irrigation District,East Stanislaus,Note: MID abbreviation also used for Merced and Madera Irrigation Districts,Modesto Irrigation District|MID|Modesto Irrigation
Oakdale Irrigation District,OID,Oakdale Irrigation|OID,Irrigation District,East Stanislaus,,Oakdale Irrigation District|OID|Oakdale Irrigation
South San Joaquin Irrigation District,SSJID,South San Joaquin Irrigation|SSJID,Irrigation District,East Stanislaus,,South San Joaquin Irrigation District|SSJID|South San Joaquin Irrigation
Merced Irrigation District,MID,Merced Irrigation|Merced ID,Irrigation District,Merced,Note: MID abbreviation also used by Modesto and Madera Irrigation Districts,Merced Irrigation District|MID|Merced Irrigation|Merced ID
Madera Irrigation District,MID,Madera Irrigation|Madera ID,Irrigation District,Madera,Note: MID abbreviation also used by Modesto and Merced Irrigation Districts,Madera Irrigation District|MID|Madera Irrigation|Madera ID
Fresno Irrigation District,FID,Fresno Irrigation|FID,Irrigation District,San Joaquin River,,Fresno Irrigation District|FID|Fresno Irrigation
Kings River Water Association,KRWA,Kings River Water|KRWA,Water Authority / Wholesaler,Kings Basin,,Kings River Water Association|KRWA|Kings River Water
Kings River Conservation District,KRCD,Kings River Conservation|KRCD,Water District,Kings Basin,,Kings River Conservation District|KRCD|Kings River Conservation
Lower Tule River Irrigation District,LTRID,Lower Tule River Irrigation|LTRID,Irrigation District,Tulare Lake,,Lower Tule River Irrigation District|LTRID|Lower Tule River Irrigation
Arvin-Edison Water Storage District,AEWSD,Arvin Edison|Arvin-Edison Water|AEWSD,Water District,Kern County,,Arvin-Edison Water Storage District|AEWSD|Arvin Edison|Arvin-Edison Water
Tehachapi-Cummings County Water District,TCCWD,Tehachapi Cummings Water|TCCWD,Water District,Kern County,,Tehachapi-Cummings County Water District|TCCWD|Tehachapi Cummings Water
Del Puerto Water District,DPWD,Del Puerto Water|DPWD,Water District,San Joaquin River,,Del Puerto Water District|DPWD|Del Puerto Water
Byron-Bethany Irrigation District,BBID,Byron Bethany Irrigation|BBID,Irrigation District,East Contra Costa County,,Byron-Bethany Irrigation District|BBID|Byron Bethany Irrigation
Humboldt Bay Municipal Water District,HBMWD,Humboldt Bay Water|Humboldt MWD|HBMWD,Water District,North Coast,,Humboldt Bay Municipal Water District|HBMWD|Humboldt Bay Water|Humboldt MWD
Upper San Gabriel Valley Municipal Water District,USGVMWD,Upper San Gabriel MWD|Upper San Gabriel Water|USGVMWD,Water District,San Gabriel Valley,,Upper San Gabriel Valley Municipal Water District|USGVMWD|Upper San Gabriel MWD|Upper San Gabriel Water
Main San Gabriel Basin Watermaster,Watermaster,San Gabriel Basin Watermaster|Main San Gabriel Watermaster,Joint Powers Authority,San Gabriel Valley,,Main San Gabriel Basin Watermaster|Watermaster|San Gabriel Basin Watermaster|Main San Gabriel Watermaster
San Gabriel Valley Municipal Water District,SGVMWD,San Gabriel Valley Water|SGVMWD,Water District,San Gabriel Valley,,San Gabriel Valley Municipal Water District|SGVMWD|San Gabriel Valley Water
Central Basin Municipal Water District,CBMWD,Central Basin MWD|Central Basin Water|CBMWD,Water District,Greater Los Angeles County,,Central Basin Municipal Water District|CBMWD|Central Basin MWD|Central Basin Water
West Basin Municipal Water District,WBMWD,West Basin MWD|West Basin Water|WBMWD,Water District,Greater Los Angeles County,,West Basin Municipal Water District|WBMWD|West Basin MWD|West Basin Water
Three Valleys Municipal Water District,TVMWD,Three Valleys MWD|Three Valleys Water|TVMWD,Water District,Greater Los Angeles County,,Three Valleys Municipal Water District|TVMWD|Three Valleys MWD|Three Valleys Water
Foothill Municipal Water District,FMWD,Foothill MWD|Foothill Water|FMWD,Water District,Greater Los Angeles County,,Foothill Municipal Water District|FMWD|Foothill MWD|Foothill Water
Pomona Valley Municipal Water District,PVMWD,Pomona Valley MWD|PVMWD,Water District,Greater Los Angeles County,,Pomona Valley Municipal Water District|PVMWD|Pomona Valley MWD
Los Angeles County Flood Control District,LACFCD,LA County Flood Control|LA Flood Control|LACFCD,Water District,Greater Los Angeles County,,Los Angeles County Flood Control District|LACFCD|LA County Flood Control|LA Flood Control
Los Angeles County Department of Public Works,LACDPW,LA County Public Works|LA County DPW|LACDPW,Municipal Utility,Greater Los Angeles County,,Los Angeles County Department of Public Works|LACDPW|LA County Public Works|LA County DPW
Los Angeles Department of Water and Power,LADWP,LA DWP|LADWP|Los Angeles DWP|LA Water and Power,Municipal Utility,Greater Los Angeles County,Largest municipal water utility in US,Los Angeles Department of Water and Power|LADWP|LA DWP|Los Angeles DWP|LA Water and Power
Los Angeles County Sanitation Districts,LACSD,LA County Sanitation Districts|LACSD,Sanitation District / Wastewater,Greater Los Angeles County,,Los Angeles County Sanitation Districts|LACSD|LA County Sanitation Districts
Orange County Sanitation District,OCSD,OC Sanitation District|OCSD,Sanitation District / Wastewater,Orange County,,Orange County Sanitation District|OCSD|OC Sanitation District
City of San Diego Public Utilities Department,PUD,San Diego Water|City of San Diego Water|San Diego PUD,Municipal Utility,San Diego,,City of San Diego Public Utilities Department|PUD|San Diego Water|City of San Diego Water|San Diego PUD
Otay Water District,OWD,Otay Water|OWD,Water District,San Diego,,Otay Water District|OWD|Otay Water
Helix Water District,HWD,Helix Water|HWD,Water District,San Diego,,Helix Water District|HWD|Helix Water
Padre Dam Municipal Water District,Padre Dam,Padre Dam MWD|Padre Dam Water,Water District,San Diego,,Padre Dam Municipal Water District|Padre Dam|Padre Dam MWD|Padre Dam Water
Olivenhain Municipal Water District,OMWD,Olivenhain Water|OMWD,Water District,San Diego,,Olivenhain Municipal Water District|OMWD|Olivenhain Water
Sweetwater Authority,SWA,Sweetwater Water|SWA,Water Authority / Wholesaler,San Diego,,Sweetwater Authority|SWA|Sweetwater Water
Rincon del Diablo Municipal Water District,RDDMWD,Rincon del Diablo Water|Rincon MWD|RDDMWD,Water District,San Diego,,Rincon del Diablo Municipal Water District|RDDMWD|Rincon del Diablo Water|Rincon MWD
Valley Center Municipal Water District,VCMWD,Valley Center Water|VCMWD,Water District,San Diego,,Valley Center Municipal Water District|VCMWD|Valley Center Water
Ramona Municipal Water District,RMWD,Ramona Water|RMWD,Water District,San Diego,,Ramona Municipal Water District|RMWD|Ramona Water
Rainbow Municipal Water District,RMWD,Rainbow Water|Rainbow MWD,Water District,San Diego,Note: RMWD also used by Ramona Municipal Water District,Rainbow Municipal Water District|RMWD|Rainbow Water|Rainbow MWD
Fallbrook Public Utility District,FPUD,Fallbrook Utility District|FPUD,Water District,San Diego,,Fallbrook Public Utility District|FPUD|Fallbrook Utility District
Rancho California Water District,RCWD,Rancho California Water|RCWD,Water District,Inland Empire,,Rancho California Water District|RCWD|Rancho California Water
Elsinore Valley Municipal Water District,EVMWD,Elsinore Valley Water|EVMWD,Water District,Inland Empire,,Elsinore Valley Municipal Water District|EVMWD|Elsinore Valley Water
Dublin San Ramon Services District,DSRSD,Dublin San Ramon Services|DSRSD,Sanitation District / Wastewater,East Bay,,Dublin San Ramon Services District|DSRSD|Dublin San Ramon Services
East Bay Dischargers Authority,EBDA,East Bay Dischargers|EBDA,Joint Powers Authority,East Bay,Wastewater treatment JPA,East Bay Dischargers Authority|EBDA|East Bay Dischargers
Central Contra Costa Sanitary District,Central San,Central San|CCCSD|Central Contra Costa Sanitary,Sanitation District / Wastewater,East Bay,,Central Contra Costa Sanitary District|Central San|CCCSD|Central Contra Costa Sanitary
Sacramento Regional County Sanitation District,SRCSD,Sacramento Regional Sanitation|Sac Regional Sanitation|SRCSD,Sanitation District / Wastewater,North Sacramento Valley,,Sacramento Regional County Sanitation District|SRCSD|Sacramento Regional Sanitation|Sac Regional Sanitation
Santa Ana Watershed Project Authority,SAWPA,Santa Ana Watershed Authority|SAWPA,Joint Powers Authority,Santa Ana Watershed|Inland Empire,Manages the IRWM for the Santa Ana watershed region,Santa Ana Watershed Project Authority|SAWPA|Santa Ana Watershed Authority
Borrego Water District,BWD,Borrego Water|BWD,Water District,Anza Borrego Desert,,Borrego Water District|BWD|Borrego Water
City of Burbank Water and Power,BWP,Burbank Water and Power|BWP|Burbank Water,Municipal Utility,Greater Los Angeles County,,City of Burbank Water and Power|BWP|Burbank Water and Power|Burbank Water
"City of Glendale Public Works, Water and Power",GWP,Glendale Water and Power|GWP|Glendale Water,Municipal Utility,Greater Los Angeles County,,"City of Glendale Public Works, Water and Power|GWP|Glendale Water and Power|Glendale Water"
Pasadena Water and Power,PWP,Pasadena Water|PWP|City of Pasadena Water,Municipal Utility,Greater Los Angeles County,,Pasadena Water and Power|PWP|Pasadena Water|City of Pasadena Water
